G;A;L;V
männlich;Alter unbekannt;Vorsätzliche Selbstbeschädigung;0
männlich;Alter unbekannt;Tätlicher Angriff;0
männlich;Alter unbekannt;Ereignis, dessen nähere Umstände unbestimmt sind;0
weiblich;unter 1 Jahr;Insgesamt;1098
weiblich;unter 1 Jahr;Bestimmte infektiöse und parasitäre Krankheiten;6
weiblich;unter 1 Jahr;Tuberkulose einschließlich ihrer Folgezustände;0
weiblich;unter 1 Jahr;Meningokokkeninfektion;2
weiblich;unter 1 Jahr;Virushepatitis;0
weiblich;unter 1 Jahr;HIV-Krankheit;0
weiblich;unter 1 Jahr;Neubildungen;12
weiblich;unter 1 Jahr;Bösartige Neubildungen (BN);6
weiblich;unter 1 Jahr;BN der Lippe, der Mundhöhle und des Pharynx;0
weiblich;unter 1 Jahr;BN des Ösophagus;0
weiblich;unter 1 Jahr;BN des Magens;0
weiblich;unter 1 Jahr;BN des Dickdarms;0
weiblich;unter 1 Jahr;BN des Rektums, des Anus und am Rektosigmoid;0
weiblich;unter 1 Jahr;BN der Leber, der Gallenwege und des Pankreas;1
weiblich;unter 1 Jahr;BN der Leber und der intrahepatischen Gallengänge;1
weiblich;unter 1 Jahr;BN des Pankreas;0
weiblich;unter 1 Jahr;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;0
weiblich;unter 1 Jahr;BN der Bronchien und der Lunge;0
weiblich;unter 1 Jahr;Melanom und sonstige bösartige Neubild. der Haut;0
weiblich;unter 1 Jahr;Bösartiges Melanom der Haut;0
weiblich;unter 1 Jahr;BN der Brustdrüse;0
weiblich;unter 1 Jahr;BN der Genital- und Harnorgane;0
weiblich;unter 1 Jahr;BN der Cervix uteri;0
weiblich;unter 1 Jahr;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;0
weiblich;unter 1 Jahr;BN des Ovars;0
weiblich;unter 1 Jahr;BN der Prostata;0
weiblich;unter 1 Jahr;BN der Niere, ausgenommen Nierenbecken;0
weiblich;unter 1 Jahr;BN der Harnblase;0
weiblich;unter 1 Jahr;BN d. lymphat., blutbild. u. verwandten Gewebes;1
weiblich;unter 1 Jahr;Leukämie;1
weiblich;unter 1 Jahr;Gutartige Neubildungen;0
weiblich;unter 1 Jahr;Krankheiten des Blutes u. der blutbildenden Organe;6
weiblich;unter 1 Jahr;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;10
weiblich;unter 1 Jahr;Diabetes mellitus;0
weiblich;unter 1 Jahr;Psychische und Verhaltensstörungen;1
weiblich;unter 1 Jahr;Psychische und Verhaltensstörungen durch Alkohol;0
weiblich;unter 1 Jahr;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;0
weiblich;unter 1 Jahr;Krankheiten d. Nervensystems u. d. Sinnesorgane;22
weiblich;unter 1 Jahr;Meningitis;0
weiblich;unter 1 Jahr;Krankheiten des Kreislaufsystems;17
weiblich;unter 1 Jahr;Hypertonie (Hochdruckkrankheit);3
weiblich;unter 1 Jahr;Ischämische Herzkrankheiten;0
weiblich;unter 1 Jahr;Akuter oder rezidivierender Myokardinfarkt;0
weiblich;unter 1 Jahr;Sonstige Formen der Herzkrankheit;12
weiblich;unter 1 Jahr;Sonstige Krankheiten des Endokards;1
weiblich;unter 1 Jahr;Zerebrovaskuläre Krankheiten;0
weiblich;unter 1 Jahr;Schlaganfall, nicht als Blutung oder Infarkt bez.;0
weiblich;unter 1 Jahr;Krankheiten der Arterien, Arteriolen und Kapillare;0
weiblich;unter 1 Jahr;Krankheiten des Atmungssystems;11
weiblich;unter 1 Jahr;Grippe;0
weiblich;unter 1 Jahr;Pneumonie;4
weiblich;unter 1 Jahr;Chronische Krankheiten der unteren Atemwege;0
weiblich;unter 1 Jahr;Asthma;0
weiblich;unter 1 Jahr;Krankheiten des Verdauungssystems;4
weiblich;unter 1 Jahr;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;0
weiblich;unter 1 Jahr;Krankheiten der Leber;0
weiblich;unter 1 Jahr;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;0
weiblich;unter 1 Jahr;Krankheiten der Haut und der Unterhaut;0
weiblich;unter 1 Jahr;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;0
weiblich;unter 1 Jahr;Chronische Polyarthritis und Arthrose;0
weiblich;unter 1 Jahr;Krankheiten des Urogenitalsystems;1
weiblich;unter 1 Jahr;Krankheiten der Niere;1
weiblich;unter 1 Jahr;Schwangerschaft, Geburt und Wochenbett;0
weiblich;unter 1 Jahr;Best.Zustände mit Ursprung in der Perinatalperiode;571
weiblich;unter 1 Jahr;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;347
weiblich;unter 1 Jahr;Angeborene Fehlbildungen des Nervensystems;43
weiblich;unter 1 Jahr;Angeborene Fehlbildungen des Kreislaufsystems;110
weiblich;unter 1 Jahr;Symptome und abnorme klinische und Laborbefunde;77
weiblich;unter 1 Jahr;Plötzlicher Kindstod;32
weiblich;unter 1 Jahr;Sonst. ungenau bezeichnete u. unbek. Todesursachen;42
weiblich;unter 1 Jahr;Äußere Ursachen von Morbidität und Mortalität;13
weiblich;unter 1 Jahr;Unfälle einschließlich Spätfolgen;6
weiblich;unter 1 Jahr;Transportmittelunfälle;2
weiblich;unter 1 Jahr;Stürze;0
weiblich;unter 1 Jahr;Ertrinken und Untergehen;0
weiblich;unter 1 Jahr;Exposition gegenüber Rauch, Feuer und Flammen;0
weiblich;unter 1 Jahr;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);0
weiblich;unter 1 Jahr;Vorsätzliche Selbstbeschädigung;0
weiblich;unter 1 Jahr;Tätlicher Angriff;5
weiblich;unter 1 Jahr;Ereignis, dessen nähere Umstände unbestimmt sind;2
weiblich;1 bis unter 15 Jahre;Insgesamt;456
weiblich;1 bis unter 15 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;15
weiblich;1 bis unter 15 Jahre;Tuberkulose einschließlich ihrer Folgezustände;0
weiblich;1 bis unter 15 Jahre;Meningokokkeninfektion;2
weiblich;1 bis unter 15 Jahre;Virushepatitis;0
weiblich;1 bis unter 15 Jahre;HIV-Krankheit;1
weiblich;1 bis unter 15 Jahre;Neubildungen;109
weiblich;1 bis unter 15 Jahre;Bösartige Neubildungen (BN);103
weiblich;1 bis unter 15 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;0
weiblich;1 bis unter 15 Jahre;BN des Ösophagus;0
weiblich;1 bis unter 15 Jahre;BN des Magens;0
weiblich;1 bis unter 15 Jahre;BN des Dickdarms;0
weiblich;1 bis unter 15 Jahre;BN des Rektums, des Anus und am Rektosigmoid;0
weiblich;1 bis unter 15 Jahre;BN der Leber, der Gallenwege und des Pankreas;2
weiblich;1 bis unter 15 Jahre;BN der Leber und der intrahepatischen Gallengänge;2
weiblich;1 bis unter 15 Jahre;BN des Pankreas;0
weiblich;1 bis unter 15 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;0
weiblich;1 bis unter 15 Jahre;BN der Bronchien und der Lunge;0
weiblich;1 bis unter 15 Jahre;Melanom und sonstige bösartige Neubild. der Haut;0
weiblich;1 bis unter 15 Jahre;Bösartiges Melanom der Haut;0
weiblich;1 bis unter 15 Jahre;BN der Brustdrüse;0
weiblich;1 bis unter 15 Jahre;BN der Genital- und Harnorgane;5
weiblich;1 bis unter 15 Jahre;BN der Cervix uteri;0
weiblich;1 bis unter 15 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;0
weiblich;1 bis unter 15 Jahre;BN des Ovars;1
weiblich;1 bis unter 15 Jahre;BN der Prostata;0
weiblich;1 bis unter 15 Jahre;BN der Niere, ausgenommen Nierenbecken;3
weiblich;1 bis unter 15 Jahre;BN der Harnblase;0
weiblich;1 bis unter 15 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;35
weiblich;1 bis unter 15 Jahre;Leukämie;28
weiblich;1 bis unter 15 Jahre;Gutartige Neubildungen;1
weiblich;1 bis unter 15 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;6
weiblich;1 bis unter 15 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;24
weiblich;1 bis unter 15 Jahre;Diabetes mellitus;2
weiblich;1 bis unter 15 Jahre;Psychische und Verhaltensstörungen;4
weiblich;1 bis unter 15 Jahre;Psychische und Verhaltensstörungen durch Alkohol;0
weiblich;1 bis unter 15 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;0
weiblich;1 bis unter 15 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;52
weiblich;1 bis unter 15 Jahre;Meningitis;2
weiblich;1 bis unter 15 Jahre;Krankheiten des Kreislaufsystems;19
weiblich;1 bis unter 15 Jahre;Hypertonie (Hochdruckkrankheit);1
weiblich;1 bis unter 15 Jahre;Ischämische Herzkrankheiten;2
weiblich;1 bis unter 15 Jahre;Akuter oder rezidivierender Myokardinfarkt;1
weiblich;1 bis unter 15 Jahre;Sonstige Formen der Herzkrankheit;8
weiblich;1 bis unter 15 Jahre;Sonstige Krankheiten des Endokards;3
weiblich;1 bis unter 15 Jahre;Zerebrovaskuläre Krankheiten;4
weiblich;1 bis unter 15 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;1
weiblich;1 bis unter 15 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;0
weiblich;1 bis unter 15 Jahre;Krankheiten des Atmungssystems;16
weiblich;1 bis unter 15 Jahre;Grippe;5
weiblich;1 bis unter 15 Jahre;Pneumonie;4
weiblich;1 bis unter 15 Jahre;Chronische Krankheiten der unteren Atemwege;2
weiblich;1 bis unter 15 Jahre;Asthma;1
weiblich;1 bis unter 15 Jahre;Krankheiten des Verdauungssystems;5
weiblich;1 bis unter 15 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;0
weiblich;1 bis unter 15 Jahre;Krankheiten der Leber;0
weiblich;1 bis unter 15 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;0
weiblich;1 bis unter 15 Jahre;Krankheiten der Haut und der Unterhaut;0
weiblich;1 bis unter 15 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;4
weiblich;1 bis unter 15 Jahre;Chronische Polyarthritis und Arthrose;0
weiblich;1 bis unter 15 Jahre;Krankheiten des Urogenitalsystems;0
weiblich;1 bis unter 15 Jahre;Krankheiten der Niere;0
weiblich;1 bis unter 15 Jahre;Schwangerschaft, Geburt und Wochenbett;0
weiblich;1 bis unter 15 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;7
weiblich;1 bis unter 15 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;72
weiblich;1 bis unter 15 Jahre;Angeborene Fehlbildungen des Nervensystems;18
weiblich;1 bis unter 15 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;20
weiblich;1 bis unter 15 Jahre;Symptome und abnorme klinische und Laborbefunde;52
weiblich;1 bis unter 15 Jahre;Plötzlicher Kindstod;0
weiblich;1 bis unter 15 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;50
weiblich;1 bis unter 15 Jahre;Äußere Ursachen von Morbidität und Mortalität;71
weiblich;1 bis unter 15 Jahre;Unfälle einschließlich Spätfolgen;51
weiblich;1 bis unter 15 Jahre;Transportmittelunfälle;25
weiblich;1 bis unter 15 Jahre;Stürze;4
weiblich;1 bis unter 15 Jahre;Ertrinken und Untergehen;9
weiblich;1 bis unter 15 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;2
weiblich;1 bis unter 15 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);1
weiblich;1 bis unter 15 Jahre;Vorsätzliche Selbstbeschädigung;11
weiblich;1 bis unter 15 Jahre;Tätlicher Angriff;7
weiblich;1 bis unter 15 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;2
weiblich;15 bis unter 20 Jahre;Insgesamt;266
weiblich;15 bis unter 20 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;2
weiblich;15 bis unter 20 Jahre;Tuberkulose einschließlich ihrer Folgezustände;1
weiblich;15 bis unter 20 Jahre;Meningokokkeninfektion;0
weiblich;15 bis unter 20 Jahre;Virushepatitis;0
weiblich;15 bis unter 20 Jahre;HIV-Krankheit;0
weiblich;15 bis unter 20 Jahre;Neubildungen;47
weiblich;15 bis unter 20 Jahre;Bösartige Neubildungen (BN);46
weiblich;15 bis unter 20 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;0
weiblich;15 bis unter 20 Jahre;BN des Ösophagus;0
weiblich;15 bis unter 20 Jahre;BN des Magens;0
weiblich;15 bis unter 20 Jahre;BN des Dickdarms;1
weiblich;15 bis unter 20 Jahre;BN des Rektums, des Anus und am Rektosigmoid;0
weiblich;15 bis unter 20 Jahre;BN der Leber, der Gallenwege und des Pankreas;1
weiblich;15 bis unter 20 Jahre;BN der Leber und der intrahepatischen Gallengänge;1
weiblich;15 bis unter 20 Jahre;BN des Pankreas;0
weiblich;15 bis unter 20 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;0
weiblich;15 bis unter 20 Jahre;BN der Bronchien und der Lunge;0
weiblich;15 bis unter 20 Jahre;Melanom und sonstige bösartige Neubild. der Haut;1
weiblich;15 bis unter 20 Jahre;Bösartiges Melanom der Haut;1
weiblich;15 bis unter 20 Jahre;BN der Brustdrüse;1
weiblich;15 bis unter 20 Jahre;BN der Genital- und Harnorgane;2
weiblich;15 bis unter 20 Jahre;BN der Cervix uteri;1
weiblich;15 bis unter 20 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;1
weiblich;15 bis unter 20 Jahre;BN des Ovars;0
weiblich;15 bis unter 20 Jahre;BN der Prostata;0
weiblich;15 bis unter 20 Jahre;BN der Niere, ausgenommen Nierenbecken;0
weiblich;15 bis unter 20 Jahre;BN der Harnblase;0
weiblich;15 bis unter 20 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;10
weiblich;15 bis unter 20 Jahre;Leukämie;8
weiblich;15 bis unter 20 Jahre;Gutartige Neubildungen;0
weiblich;15 bis unter 20 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;5
weiblich;15 bis unter 20 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;7
weiblich;15 bis unter 20 Jahre;Diabetes mellitus;0
weiblich;15 bis unter 20 Jahre;Psychische und Verhaltensstörungen;5
weiblich;15 bis unter 20 Jahre;Psychische und Verhaltensstörungen durch Alkohol;0
weiblich;15 bis unter 20 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;1
weiblich;15 bis unter 20 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;28
weiblich;15 bis unter 20 Jahre;Meningitis;1
weiblich;15 bis unter 20 Jahre;Krankheiten des Kreislaufsystems;13
weiblich;15 bis unter 20 Jahre;Hypertonie (Hochdruckkrankheit);0
weiblich;15 bis unter 20 Jahre;Ischämische Herzkrankheiten;1
weiblich;15 bis unter 20 Jahre;Akuter oder rezidivierender Myokardinfarkt;1
weiblich;15 bis unter 20 Jahre;Sonstige Formen der Herzkrankheit;5
weiblich;15 bis unter 20 Jahre;Sonstige Krankheiten des Endokards;3
weiblich;15 bis unter 20 Jahre;Zerebrovaskuläre Krankheiten;1
weiblich;15 bis unter 20 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;0
weiblich;15 bis unter 20 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;0
weiblich;15 bis unter 20 Jahre;Krankheiten des Atmungssystems;9
weiblich;15 bis unter 20 Jahre;Grippe;2
weiblich;15 bis unter 20 Jahre;Pneumonie;1
weiblich;15 bis unter 20 Jahre;Chronische Krankheiten der unteren Atemwege;2
weiblich;15 bis unter 20 Jahre;Asthma;1
weiblich;15 bis unter 20 Jahre;Krankheiten des Verdauungssystems;3
weiblich;15 bis unter 20 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;0
weiblich;15 bis unter 20 Jahre;Krankheiten der Leber;1
weiblich;15 bis unter 20 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;1
weiblich;15 bis unter 20 Jahre;Krankheiten der Haut und der Unterhaut;1
weiblich;15 bis unter 20 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;1
weiblich;15 bis unter 20 Jahre;Chronische Polyarthritis und Arthrose;0
weiblich;15 bis unter 20 Jahre;Krankheiten des Urogenitalsystems;2
weiblich;15 bis unter 20 Jahre;Krankheiten der Niere;1
weiblich;15 bis unter 20 Jahre;Schwangerschaft, Geburt und Wochenbett;0
weiblich;15 bis unter 20 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;1
weiblich;15 bis unter 20 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;13
weiblich;15 bis unter 20 Jahre;Angeborene Fehlbildungen des Nervensystems;5
weiblich;15 bis unter 20 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;6
weiblich;15 bis unter 20 Jahre;Symptome und abnorme klinische und Laborbefunde;28
weiblich;15 bis unter 20 Jahre;Plötzlicher Kindstod;0
weiblich;15 bis unter 20 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;28
weiblich;15 bis unter 20 Jahre;Äußere Ursachen von Morbidität und Mortalität;101
weiblich;15 bis unter 20 Jahre;Unfälle einschließlich Spätfolgen;50
weiblich;15 bis unter 20 Jahre;Transportmittelunfälle;37
weiblich;15 bis unter 20 Jahre;Stürze;2
weiblich;15 bis unter 20 Jahre;Ertrinken und Untergehen;2
weiblich;15 bis unter 20 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;0
weiblich;15 bis unter 20 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);2
weiblich;15 bis unter 20 Jahre;Vorsätzliche Selbstbeschädigung;42
weiblich;15 bis unter 20 Jahre;Tätlicher Angriff;3
weiblich;15 bis unter 20 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;6
weiblich;20 bis unter 25 Jahre;Insgesamt;360
weiblich;20 bis unter 25 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;5
weiblich;20 bis unter 25 Jahre;Tuberkulose einschließlich ihrer Folgezustände;1
weiblich;20 bis unter 25 Jahre;Meningokokkeninfektion;0
weiblich;20 bis unter 25 Jahre;Virushepatitis;0
weiblich;20 bis unter 25 Jahre;HIV-Krankheit;0
weiblich;20 bis unter 25 Jahre;Neubildungen;60
weiblich;20 bis unter 25 Jahre;Bösartige Neubildungen (BN);57
weiblich;20 bis unter 25 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;0
weiblich;20 bis unter 25 Jahre;BN des Ösophagus;0
weiblich;20 bis unter 25 Jahre;BN des Magens;0
weiblich;20 bis unter 25 Jahre;BN des Dickdarms;1
weiblich;20 bis unter 25 Jahre;BN des Rektums, des Anus und am Rektosigmoid;0
weiblich;20 bis unter 25 Jahre;BN der Leber, der Gallenwege und des Pankreas;3
weiblich;20 bis unter 25 Jahre;BN der Leber und der intrahepatischen Gallengänge;1
weiblich;20 bis unter 25 Jahre;BN des Pankreas;1
weiblich;20 bis unter 25 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;0
weiblich;20 bis unter 25 Jahre;BN der Bronchien und der Lunge;0
weiblich;20 bis unter 25 Jahre;Melanom und sonstige bösartige Neubild. der Haut;1
weiblich;20 bis unter 25 Jahre;Bösartiges Melanom der Haut;1
weiblich;20 bis unter 25 Jahre;BN der Brustdrüse;1
weiblich;20 bis unter 25 Jahre;BN der Genital- und Harnorgane;4
weiblich;20 bis unter 25 Jahre;BN der Cervix uteri;2
weiblich;20 bis unter 25 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;0
weiblich;20 bis unter 25 Jahre;BN des Ovars;1
weiblich;20 bis unter 25 Jahre;BN der Prostata;0
weiblich;20 bis unter 25 Jahre;BN der Niere, ausgenommen Nierenbecken;0
weiblich;20 bis unter 25 Jahre;BN der Harnblase;0
weiblich;20 bis unter 25 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;13
weiblich;20 bis unter 25 Jahre;Leukämie;11
weiblich;20 bis unter 25 Jahre;Gutartige Neubildungen;0
weiblich;20 bis unter 25 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;2
weiblich;20 bis unter 25 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;15
weiblich;20 bis unter 25 Jahre;Diabetes mellitus;0
weiblich;20 bis unter 25 Jahre;Psychische und Verhaltensstörungen;7
weiblich;20 bis unter 25 Jahre;Psychische und Verhaltensstörungen durch Alkohol;0
weiblich;20 bis unter 25 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;2
weiblich;20 bis unter 25 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;26
weiblich;20 bis unter 25 Jahre;Meningitis;0
weiblich;20 bis unter 25 Jahre;Krankheiten des Kreislaufsystems;20
weiblich;20 bis unter 25 Jahre;Hypertonie (Hochdruckkrankheit);0
weiblich;20 bis unter 25 Jahre;Ischämische Herzkrankheiten;1
weiblich;20 bis unter 25 Jahre;Akuter oder rezidivierender Myokardinfarkt;1
weiblich;20 bis unter 25 Jahre;Sonstige Formen der Herzkrankheit;7
weiblich;20 bis unter 25 Jahre;Sonstige Krankheiten des Endokards;2
weiblich;20 bis unter 25 Jahre;Zerebrovaskuläre Krankheiten;3
weiblich;20 bis unter 25 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;0
weiblich;20 bis unter 25 Jahre;Krankheiten der Arterien, Arteriolen und Kapillare;1
weiblich;20 bis unter 25 Jahre;Krankheiten des Atmungssystems;14
weiblich;20 bis unter 25 Jahre;Grippe;3
weiblich;20 bis unter 25 Jahre;Pneumonie;4
weiblich;20 bis unter 25 Jahre;Chronische Krankheiten der unteren Atemwege;2
weiblich;20 bis unter 25 Jahre;Asthma;1
weiblich;20 bis unter 25 Jahre;Krankheiten des Verdauungssystems;12
weiblich;20 bis unter 25 Jahre;Ulcus ventriculi, duodeni, pepticum, pept. jejuni;0
weiblich;20 bis unter 25 Jahre;Krankheiten der Leber;3
weiblich;20 bis unter 25 Jahre;Alkoh.Leberkh.,Chron.Hepatitis,Leberfibr.u.-zirr.;1
weiblich;20 bis unter 25 Jahre;Krankheiten der Haut und der Unterhaut;1
weiblich;20 bis unter 25 Jahre;Krankh. des Muskel-Skelett-Systems u. Bindegewebes;2
weiblich;20 bis unter 25 Jahre;Chronische Polyarthritis und Arthrose;0
weiblich;20 bis unter 25 Jahre;Krankheiten des Urogenitalsystems;1
weiblich;20 bis unter 25 Jahre;Krankheiten der Niere;1
weiblich;20 bis unter 25 Jahre;Schwangerschaft, Geburt und Wochenbett;1
weiblich;20 bis unter 25 Jahre;Best.Zustände mit Ursprung in der Perinatalperiode;1
weiblich;20 bis unter 25 Jahre;Angeb. Fehlbildungen,Deformitäten,Chromosomenanom.;11
weiblich;20 bis unter 25 Jahre;Angeborene Fehlbildungen des Nervensystems;2
weiblich;20 bis unter 25 Jahre;Angeborene Fehlbildungen des Kreislaufsystems;6
weiblich;20 bis unter 25 Jahre;Symptome und abnorme klinische und Laborbefunde;50
weiblich;20 bis unter 25 Jahre;Plötzlicher Kindstod;0
weiblich;20 bis unter 25 Jahre;Sonst. ungenau bezeichnete u. unbek. Todesursachen;47
weiblich;20 bis unter 25 Jahre;Äußere Ursachen von Morbidität und Mortalität;132
weiblich;20 bis unter 25 Jahre;Unfälle einschließlich Spätfolgen;63
weiblich;20 bis unter 25 Jahre;Transportmittelunfälle;47
weiblich;20 bis unter 25 Jahre;Stürze;3
weiblich;20 bis unter 25 Jahre;Ertrinken und Untergehen;2
weiblich;20 bis unter 25 Jahre;Exposition gegenüber Rauch, Feuer und Flammen;0
weiblich;20 bis unter 25 Jahre;Akzid. Vergiftung: schädl. Substanzen (inkl. Exp.);6
weiblich;20 bis unter 25 Jahre;Vorsätzliche Selbstbeschädigung;51
weiblich;20 bis unter 25 Jahre;Tätlicher Angriff;10
weiblich;20 bis unter 25 Jahre;Ereignis, dessen nähere Umstände unbestimmt sind;8
weiblich;25 bis unter 30 Jahre;Insgesamt;518
weiblich;25 bis unter 30 Jahre;Bestimmte infektiöse und parasitäre Krankheiten;7
weiblich;25 bis unter 30 Jahre;Tuberkulose einschließlich ihrer Folgezustände;1
weiblich;25 bis unter 30 Jahre;Meningokokkeninfektion;0
weiblich;25 bis unter 30 Jahre;Virushepatitis;0
weiblich;25 bis unter 30 Jahre;HIV-Krankheit;0
weiblich;25 bis unter 30 Jahre;Neubildungen;115
weiblich;25 bis unter 30 Jahre;Bösartige Neubildungen (BN);114
weiblich;25 bis unter 30 Jahre;BN der Lippe, der Mundhöhle und des Pharynx;1
weiblich;25 bis unter 30 Jahre;BN des Ösophagus;0
weiblich;25 bis unter 30 Jahre;BN des Magens;5
weiblich;25 bis unter 30 Jahre;BN des Dickdarms;2
weiblich;25 bis unter 30 Jahre;BN des Rektums, des Anus und am Rektosigmoid;3
weiblich;25 bis unter 30 Jahre;BN der Leber, der Gallenwege und des Pankreas;4
weiblich;25 bis unter 30 Jahre;BN der Leber und der intrahepatischen Gallengänge;3
weiblich;25 bis unter 30 Jahre;BN des Pankreas;1
weiblich;25 bis unter 30 Jahre;BN d. Larynx, d. Trachea, d. Bronchien u. d. Lunge;1
weiblich;25 bis unter 30 Jahre;BN der Bronchien und der Lunge;1
weiblich;25 bis unter 30 Jahre;Melanom und sonstige bösartige Neubild. der Haut;2
weiblich;25 bis unter 30 Jahre;Bösartiges Melanom der Haut;2
weiblich;25 bis unter 30 Jahre;BN der Brustdrüse;22
weiblich;25 bis unter 30 Jahre;BN der Genital- und Harnorgane;23
weiblich;25 bis unter 30 Jahre;BN der Cervix uteri;8
weiblich;25 bis unter 30 Jahre;BN des Corpus uteri u. Uterus, Teil n.n. bezeichn.;2
weiblich;25 bis unter 30 Jahre;BN des Ovars;11
weiblich;25 bis unter 30 Jahre;BN der Prostata;0
weiblich;25 bis unter 30 Jahre;BN der Niere, ausgenommen Nierenbecken;1
weiblich;25 bis unter 30 Jahre;BN der Harnblase;0
weiblich;25 bis unter 30 Jahre;BN d. lymphat., blutbild. u. verwandten Gewebes;16
weiblich;25 bis unter 30 Jahre;Leukämie;11
weiblich;25 bis unter 30 Jahre;Gutartige Neubildungen;1
weiblich;25 bis unter 30 Jahre;Krankheiten des Blutes u. der blutbildenden Organe;1
weiblich;25 bis unter 30 Jahre;Endokrine, Ernährungs- u. Stoffwechselkrankheiten;18
weiblich;25 bis unter 30 Jahre;Diabetes mellitus;5
weiblich;25 bis unter 30 Jahre;Psychische und Verhaltensstörungen;16
weiblich;25 bis unter 30 Jahre;Psychische und Verhaltensstörungen durch Alkohol;2
weiblich;25 bis unter 30 Jahre;Psych. u. Verhaltensstörungen d.a.psychotr. Subst.;8
weiblich;25 bis unter 30 Jahre;Krankheiten d. Nervensystems u. d. Sinnesorgane;35
weiblich;25 bis unter 30 Jahre;Meningitis;0
weiblich;25 bis unter 30 Jahre;Krankheiten des Kreislaufsystems;33
weiblich;25 bis unter 30 Jahre;Hypertonie (Hochdruckkrankheit);0
weiblich;25 bis unter 30 Jahre;Ischämische Herzkrankheiten;0
weiblich;25 bis unter 30 Jahre;Akuter oder rezidivierender Myokardinfarkt;0
weiblich;25 bis unter 30 Jahre;Sonstige Formen der Herzkrankheit;8
weiblich;25 bis unter 30 Jahre;Sonstige Krankheiten des Endokards;2
weiblich;25 bis unter 30 Jahre;Zerebrovaskuläre Krankheiten;9
weiblich;25 bis unter 30 Jahre;Schlaganfall, nicht als Blutung oder Infarkt bez.;0
